comment,like_count,published_at,author,sentiment,emotions,anger,fear,negative,positive,trust,anticipation,joy,surprise,sadness,disgust,positive_count
No one has been waiting for this.  If Mike was aged anywhere from 16 to 45 it wouldn't be happening  . And anyone watching is hoping Jake gets knocked out by a 60 year old man.  And if ur a fan of Jake Paul remember ur a fan of a Disney star 😂 let that sink in,0,2024-10-21T14:43:52Z,@PaulSmith-v9f,Neutral,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
Really hope that Tyson gets a rag doll knockout against Paul,0,2024-10-21T13:13:18Z,@sleekhangman1590,Positive,"{'anticipation': 1, 'joy': 2, 'positive': 1, 'surprise': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1
"Who's putting money on this, does JP make it past the first round???",0,2024-10-21T12:50:10Z,@sneakyfingersdevandle8164,Negative,"{'anger': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
"27 yrs old versus 58 yrs old, and mike tyson still gonna win ☠",2,2024-10-21T12:29:56Z,@matthiaswen-s1n,Positive,"{'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ehrenlos schon mal auf sein Alter gesehen in seiner prime time selbst auch jetzt hat er keine Chance aber schon ne Frechheit gegen eine Legende anzutreten und die fresse auf zu reisen kid,0,2024-10-21T11:58:50Z,@PrathSEED,Neutral,"{'positive': 1, 'anticipation': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
Just a marketing strategy to earn money😂,0,2024-10-21T11:21:26Z,@Màťàllà2020,Neutral,{'positive': 1},0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Hey netflix, can you make Jake paul black, both of them gay and turn the fight in a gala night please? I really love your series and i’d like this one to be closer to the others. Thank you Netflix this really worths it 20€/month❤️",0,2024-10-21T11:15:39Z,@Dubo_y72g,Positive,"{'negative': 2, 'sadness': 1, 'anger': 1, 'fear': 1, 'joy': 1, 'positive': 1, 'trust': 1}",1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
Two Men are fighting,1,2024-10-21T08:30:28Z,@BLUEKNIGHT2429,Neutral,"{'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Netflix marketing this as if it was a historical event. Jake Paul, fight someone on your own age, and don’t make it about the money.",0,2024-10-21T08:23:16Z,@JGEwasHere,Positive,"{'anger': 2, 'fear': 1, 'negative': 1, 'positive': 2, 'trust': 2, 'anticipation': 1, 'joy': 1, 'surprise': 1}",2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1
Iron Mike is about to beat the breaks off this little YouTube kid Snake Paul.,0,2024-10-21T08:05:51Z,@loobert22,Negative,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Neeraj goyat in description of the vedio 💀💀💀,0,2024-10-21T08:05:40Z,@ALPEX_47,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
What a waste of time,0,2024-10-21T07:48:37Z,@harrysportello,Negative,"{'disgust': 1, 'negative': 1, 'anticipation': 1}",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
"If Jake wins, peeps are gonna be out for blood.",0,2024-10-21T07:43:39Z,@delusionalfrog,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
All i see is KRATOS VS HEIMDALL,0,2024-10-21T07:19:02Z,@djgabucay,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Even Jack Paul win it'll be like he won with old person and if he lose that's more insulting than ever. One way another he made a fool of himself,0,2024-10-21T07:00:50Z,@makkhan446,Positive,"{'anger': 2, 'disgust': 3, 'fear': 2, 'negative': 3, 'sadness': 2, 'surprise': 1}",2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1
"mom why does boxing look so ugly 
1% people can understand this",0,2024-10-21T06:53:40Z,@Ali-oo2cb,Negative,"{'anger': 1, 'disgust': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
If only Netflix Co founder dirt bag didn't shovel 7 mil to that traitor kamala would have looked forward to see this without pirating the dogshit outta it,0,2024-10-21T06:41:17Z,@z3ntropy,Neutral,"{'disgust': 2, 'negative': 2, 'anger': 1, 'fear': 1, 'sadness': 1, 'positive': 1}",1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0
First two rounds gone be good entertainment but tyson ahh gone be tired by then😂,0,2024-10-21T05:35:12Z,@SwishGod6,Positive,"{'anticipation': 2, 'joy': 2, 'positive': 2, 'surprise': 2, 'trust': 2, 'negative': 1}",0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1
I dont have netflix where else can i watch this for free,0,2024-10-21T05:25:33Z,@GHW_Y3,Positive,"{'anticipation': 1, 'fear': 1}",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Whi is buying tickets to this? Who is that stupid?,0,2024-10-21T04:56:23Z,@PsychMedia1990,Negative,{'negative': 1},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I’m so over celebrity boxing it’s not even funny,0,2024-10-21T04:55:01Z,@bucksafterdark4752,Positive,"{'anger': 2, 'anticipation': 1, 'disgust': 1, 'joy': 1, 'negative': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
"The fight that the world has been waiting for is Jake Paul vs his rival, KSI.",0,2024-10-21T04:24:20Z,@TheFastMan234,Neutral,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"I'm not going to waste my time to watch a 1 minute fight, where Mike smiles for 50 sec",0,2024-10-21T04:17:56Z,@ТуанНгуен-ь5п,Negative,"{'disgust': 1, 'negative': 2, 'anticipation': 2, 'fear': 2, 'anger': 1}",1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
"Jake Paul vs Old man Tyson… for me Mike Don’t need this Fight he already a legend , about money maybe for what he can still earn without fighting ,it will put him in danger because of his age, he’s almost 60 years old vs what 27 years old? This fight is a joke a freak show.. I love Mike but for me I’m nớt excited in this one 😞",0,2024-10-21T03:22:26Z,@czartabujara,Positive,"{'anger': 3, 'anticipation': 2, 'joy': 3, 'positive': 4, 'surprise': 2, 'trust': 3, 'negative': 4, 'fear': 2, 'sadness': 1}",3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,0.0,1
I’ll be watching Cobra Kai season 6 part 2 don’t have time to watch Jake get his s*** rocked,0,2024-10-21T03:08:29Z,@Kwon-o4u,Neutral,"{'positive': 1, 'trust': 1, 'anticipation': 2, 'fear': 1}",0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0
Them big ass gloves 😮,0,2024-10-21T01:21:28Z,@justkeepingreal2967,Neutral,{'negative': 1},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fc mobile song😂😂,0,2024-10-21T00:31:24Z,@BrianGuerra-jq6ef,Neutral,{'anticipation': 1},0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"“el gallo"" 🐓 😂",0,2024-10-21T00:12:40Z,@sham-hj6qx,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Mr Tyson  no disrespect bro , please , PLEASE withdraw from this fight with the young hungry heavyweight prospect & future Undisputed World Champion ,""The 1:24  Problem Child"" Jake Paul (10-1- 0  7 KO) ,  1st dan black belt Uechi Ryu Karate Do  🥋🇯🇵  .

Once again Mr Tyson , please PLEASE withdraw from this dangerous fight as you will be hurt & we fear for your health & safety .


Friend of Grandmaster Steven Segal Sensei : 11th dan black belt 🥋 Ten Shen Aikido Ho . Former trainer/advisor: UFC-MMA legend Anderson Silva 🇧🇷.",0,2024-10-21T00:10:15Z,@brucecox296,Negative,"{'anger': 7, 'negative': 13, 'sadness': 5, 'fear': 7, 'anticipation': 2, 'joy': 1, 'positive': 2, 'surprise': 1}",7.0,7.0,13.0,2.0,0.0,2.0,1.0,1.0,5.0,0.0,0
"Gotta give Jake Paul respect for making millions and millions and even giving Tyson for a chance to make millions more. Don't worry tho people, this one is definitely scripted yet should be fun.",0,2024-10-20T23:58:13Z,@coffeeandcigarettes4me,Positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 1, 'surprise': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",0.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,1
If someone doesn’t get seriously hurt it’s staged,0,2024-10-20T23:46:05Z,@chrisdagher5445,Negative,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Everyone's watching though. PUMPED!,0,2024-10-20T23:41:22Z,@SeanWeird,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I think sadly Mike gone lose,0,2024-10-20T23:23:12Z,@Milo92927,Negative,"{'negative': 2, 'sadness': 2, 'anger': 1, 'disgust': 1, 'fear': 1, 'surprise': 1}",1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0
Theres never been a night this big?Forealtho?,0,2024-10-20T23:20:48Z,@Wolfgxxxxxx,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
You did sin ag. Mike Tyson is you! Love More.,0,2024-10-20T23:04:55Z,@ConnorMcSweeney-n1x,Positive,"{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
"bro this is a lose lose situation for jake , winning and losing😂",2,2024-10-20T21:54:07Z,@abo_909,Positive,"{'anger': 2, 'disgust': 3, 'fear': 2, 'negative': 2, 'sadness': 3, 'surprise': 3, 'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1
Tyson is going to break a literal person....he is one scary MFr....only takes one punch from his peekaboo style and BAM,0,2024-10-20T21:53:30Z,@CryptoYoyo00,Negative,"{'surprise': 2, 'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
Ice tea sucks! Lemonade way better,0,2024-10-20T21:39:50Z,@Brian-ff7tw,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jake”disney thot” paul is the saddest dude on this planet 🤦‍♂️ fighting with a old retired man,0,2024-10-20T21:37:34Z,@1NatureGod,Positive,"{'anger': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Guys this is Tyson,trust me someone's getting smashed",0,2024-10-20T21:33:44Z,@pu-jin6012,Neutral,"{'trust': 1, 'negative': 1}",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Mike looks very old. Even in this trailer it’s scaring me.,0,2024-10-20T21:16:54Z,@gmr_younggoone6829,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Oh how far the mighty have fallen.

Im pretty sure mike was the one pushing to make this fight happen. He has no chance but hes willing to get ko'd just for the paycheck.",0,2024-10-20T21:11:02Z,@gus051,Positive,"{'anger': 2, 'fear': 2, 'joy': 2, 'positive': 2, 'trust': 2, 'anticipation': 2, 'negative': 1, 'surprise': 1}",2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1
A real life Apollo Creed vs Ivan Drago fight,0,2024-10-20T20:23:58Z,@johnboko7110,Positive,"{'positive': 1, 'trust': 1, 'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Just no.,0,2024-10-20T19:30:24Z,@SeltzerCole1,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
not sure who jack is but make can take anyone,0,2024-10-20T19:21:02Z,@correctopinion4708,Negative,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"""this is the fight the world's been waiting for"" nobody asked for this shit bro😒",0,2024-10-20T19:20:46Z,@JoaquinEscalante-rq5bg,Negative,"{'anger': 2, 'fear': 1, 'negative': 2, 'disgust': 1}",2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
people shouldn't underestimate mike tyson. jake will never get the satisfaction of winning over the champ if anything it'll be a smack in the face by reality that he's not a great boxer.,0,2024-10-20T19:15:36Z,@BlueWorld-03,Positive,"{'surprise': 2, 'anticipation': 1, 'disgust': 1, 'joy': 1, 'positive': 1, 'sadness': 1, 'trust': 1, 'anger': 1, 'negative': 1}",1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1
What is this shit? If you tune in to this you will most definitely be gay,0,2024-10-20T19:07:46Z,@annoyingtosaytheleast,Positive,"{'anger': 1, 'disgust': 1, 'negative': 1}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
fully scripted 😢😢,1,2024-10-20T18:43:16Z,@SEJJUROMANMUBBI,Neutral,"{'positive': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Look at the size of those gloves Mike wearing. 😂😂😂 That better not be the actual fighting gloves. They put pillows on that man for Jake. 😂😂,0,2024-10-20T18:40:35Z,@reemobrooklyn3557,Positive,"{'positive': 1, 'anger': 1, 'negative': 1}",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Tyson only accepted this fight because his ass done went broke and he knows even if he loses his payday will be very significant enough for his old ass to live off of the remainder of his days 😂 but i will admit i do hope he jusy obliterates Jake Ru Pauls face,0,2024-10-20T18:14:20Z,@TPS070,Positive,"{'anger': 1, 'fear': 2, 'negative': 4, 'sadness': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
"Mike is the man doing what he wants, respect the OG",0,2024-10-20T18:03:29Z,@munchmancookie8546,Positive,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
He is gone be one taped,0,2024-10-20T17:57:46Z,@brickbehindthescreen,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
There is no way jake beating Mike,0,2024-10-20T17:55:56Z,@JDUCK236,Neutral,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
If Mike Tyson fights for real and not exhibition Jake is done,0,2024-10-20T17:53:23Z,@FMJ777,Positive,"{'positive': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
😂the gloves look like pillows😂😂😂😂😂😂,0,2024-10-20T17:40:56Z,@xtabolx2425,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
i hope mike breaks him just cause he obviously is picking older fighters to fight and that's lame whats the point of picking a fight with tyson if you cant fight him in his prime... you ain't proving anything to anyone winning fights against old men out of they prime,1,2024-10-20T17:36:44Z,@youwillsucceed4rlz,Positive,"{'anticipation': 2, 'joy': 2, 'positive': 4, 'surprise': 2, 'trust': 2, 'sadness': 2, 'anger': 3, 'fear': 3, 'negative': 3, 'disgust': 1}",3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1
Who ever paying for this lost.,1,2024-10-20T17:26:31Z,@dnoo636,Neutral,"{'negative': 1, 'sadness': 1}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
"This dumbass fights retired boxers and boasts about it like they are in their prime.
He lost to tommy fury who can't even fight properly.
What a clown 🤡",0,2024-10-20T16:33:12Z,@Tony_Montana166,Neutral,"{'positive': 2, 'negative': 3, 'sadness': 2, 'anger': 2, 'fear': 2, 'anticipation': 1, 'joy': 1, 'surprise': 1}",2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0
Was that Ludacris speaking,0,2024-10-20T16:31:11Z,@intergalactictoast96,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"If Mike forgets the script, blondey boy is done for",0,2024-10-20T15:50:43Z,@GhostDivisionBlitzkrieg,Neutral,"{'positive': 1, 'disgust': 1, 'negative': 1}",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"A lion is still a lion. Mike is in incredible shape for his age and can still throw a punch, Jake Paul stands no chance",0,2024-10-20T15:19:16Z,@Jerry-yr1en,Positive,"{'fear': 3, 'positive': 3, 'anger': 1, 'negative': 1, 'sadness': 1, 'surprise': 2}",1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1
Tyson diving for the 🤑,0,2024-10-20T15:15:43Z,@jayone150,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rip kid jake,0,2024-10-20T15:00:05Z,@ashithel7861,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Remember this comment first round knockout by Mike tyson.,0,2024-10-20T14:47:34Z,@Jose-b9z3c,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ONLY DUTCH HAS A PLAN!,0,2024-10-20T14:20:27Z,@xXPupsikXx,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"You all have no clue, humans are fighting fit until 70. I have seen old timers in their 60s knocking out young men. Scratch that, the fighter was 86 and knocked the opponent down within seconds.",0,2024-10-20T14:16:11Z,@FUNREAR-s8w,Positive,"{'anticipation': 3, 'anger': 2, 'negative': 2, 'joy': 1, 'positive': 1, 'surprise': 1, 'disgust': 1, 'fear': 1}",2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1
R.I.P,0,2024-10-20T13:45:43Z,@saikrishnaprayaga2162,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
We want to see Mike vs Floyd Mayweather,0,2024-10-20T13:11:24Z,@wizkid4535,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
This is close to being a circus.,0,2024-10-20T12:57:42Z,@brianrannib1375,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Honestly this fight has become too gimmicky to even consider watching, what’s with this trailers and shit.",0,2024-10-20T12:48:42Z,@nigelthomas1360,Positive,"{'anger': 2, 'fear': 1, 'negative': 2, 'disgust': 1}",2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Let's pretend it's 1989 Tyson💀,0,2024-10-20T12:09:02Z,@KennyKharbudon,Neutral,{'negative': 1},0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"I still think it's so random how they got into boxing? It's probably years since I've seen YouTube Video of them, but didn't they make silly pranks or stuff like that? Didn't really follow them, way too annoying 😅",1,2024-10-20T11:51:45Z,@LittleSkyful,Negative,"{'anger': 2, 'joy': 1, 'negative': 2}",2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
I feel like the build up to this fight has been going on since dinosaurs were he. Rumour has it the fight is scheduled just before doomsday,0,2024-10-20T11:48:05Z,@user-ls1lu7gu4u,Neutral,"{'positive': 1, 'anger': 3, 'fear': 3, 'negative': 3, 'anticipation': 1, 'disgust': 1, 'sadness': 1}",3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0
"Welp, time to pick up some Tyson 2.0 to support my boy. BEAT HIS ASS TYSON!",0,2024-10-20T11:45:20Z,@thekingjames420,Neutral,"{'anticipation': 1, 'positive': 1, 'disgust': 1, 'negative': 1}",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
The Clown vs The Wife Beating Rapist.,0,2024-10-20T11:32:37Z,@-AdApt-,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
😍Tyson my hero,0,2024-10-20T11:31:22Z,@ELLOCOOfficiel,Neutral,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
"I Hope Mike Knocks Jake Out Any Young Man Wanting To Fight A Old Man Is Not A Man He’s A Chump, Never The Less Mikes Got What It Takes He’s Been Heavyweight Champion Fighting Some Kid Who Use To Be On Disney.",0,2024-10-20T11:20:58Z,@Simonsays19984,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"“I'm the face of this sport.”

Ṣ'ẹngbọ weyrey? 😂",0,2024-10-20T11:12:53Z,@aotlatitude,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Any tamilan here like and chat down ɢᴜʏꜱ,0,2024-10-20T11:07:27Z,@ak7commentary,Negative,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Whole thing’s been scripted. Tyson will win,0,2024-10-20T10:15:55Z,@northboioracle3969,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
If Tyson lost 100%  fake fight. Just like dje and fousy fight,0,2024-10-20T09:36:34Z,@AbdullahAyad-t8w,Negative,"{'negative': 4, 'sadness': 1, 'anger': 2, 'fear': 2}",2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
"Fear the old man in a profession where men die young

- some famous guy",0,2024-10-20T09:24:16Z,@ocnbxng5038,Positive,"{'positive': 3, 'fear': 1, 'negative': 1, 'sadness': 1, 'anticipation': 1, 'joy': 1, 'surprise': 1}",0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1
Paul brothers worse thing to happen to the sport. But at least the fighters are getting paid i guess,0,2024-10-20T09:22:21Z,@oztheman6177,Negative,"{'fear': 1, 'negative': 1, 'sadness': 1, 'anticipation': 1, 'surprise': 1}",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
el gallo by snook defeated 47-47 masha sugoi tyson king tyson love,0,2024-10-20T09:22:18Z,@randomuser0909,Positive,"{'negative': 1, 'sadness': 1, 'positive': 2, 'joy': 1}",0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1
I've said this multiple times in many different social platforms. If Mike losses it's due to either the fat check or staged. I hope this fight is legit.,0,2024-10-20T08:57:12Z,@Mohammed-r4n2k,Positive,"{'disgust': 1, 'negative': 2, 'sadness': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'anger': 1, 'fear': 1}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
This will be the biggest scripted fight of all time. Literally promoted by Paul's own company. Mike's probably being paid in hundred's of millions. I ain't gonna watch mike taking hits from clowns like Paul just for the bag.,0,2024-10-20T07:44:41Z,@yubwankashyap,Positive,"{'anger': 1, 'fear': 2, 'negative': 1, 'anticipation': 2}",1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
Tyson been doing nip training with Joe Rogan,0,2024-10-20T07:35:39Z,@benjaminsantiagosstuff,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Who won,0,2024-10-20T07:26:08Z,@EbrahimAbdahman,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Comedy,0,2024-10-20T07:07:04Z,@NoManY-yc7eh,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
This trailer has scripted written all over its face.,0,2024-10-20T06:23:31Z,@rafidrahman1,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike shouldn't have accepted this losers fight.,0,2024-10-20T06:22:28Z,@FreshAirThe,Negative,"{'anger': 1, 'fear': 1, 'negative': 1}",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Say what you want. If I was ever going to be able to face Tyson for this much money. I would do it in a heartbeat. Even if you trash talk me, still better than being trashed on 12 hrs a day by bad customers and karens.",0,2024-10-20T06:07:35Z,@NBASFAN,Positive,"{'anger': 2, 'anticipation': 1, 'joy': 1, 'positive': 2, 'surprise': 1, 'trust': 1, 'disgust': 2, 'negative': 2, 'sadness': 2, 'fear': 1}",2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1
Sad,0,2024-10-20T05:58:28Z,@bshari5680,Negative,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike is going KO Jake Paul out in under 2minutes. He is going to be so confused WHAT HAPPENED NO MAN CAN WITTH STAND TYSONS PUNCHES.,0,2024-10-20T04:31:46Z,@TRUTH4U2NO,Negative,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Love Jake and Mike,1,2024-10-20T04:31:14Z,@genesisedwards123,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
The baddest man on the planet - 30 years ago. Lol,0,2024-10-20T04:24:08Z,@shakurfaith,Positive,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mike is gonna crush Jake Paul.,0,2024-10-20T04:06:09Z,@venjustice6666,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scripted money grab. Fcuk  you.,0,2024-10-20T03:44:41Z,@paulmidd5523,Neutral,"{'anger': 2, 'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'negative': 1}",2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
Cringefest,0,2024-10-20T03:29:57Z,@mr.crowgamer6250,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
I hope Mike Tyson sleeps Paul for the sake of humanity ❤ 🥊,0,2024-10-20T03:29:26Z,@Onetakelifestyle3323,Neutral,"{'anticipation': 1, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 2}",0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0
There is no way we got a Netflix trailer for this 💀,0,2024-10-20T03:17:11Z,@xandex69,Neutral,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
